,identifier,title,creator,date,depositor,box,folder,type_of_resource,genre
62,31735037970179,"Review of Books Perused By...,Notebook Containing Personal Reviews and Summaries of Books,",,1847/1851; 1831-1965,University of Pittsburgh,183,3,text,archival document
63,31735037972449,"Winthrop Allen (brother),",,1831-1965,University of Pittsburgh,,9,text,archival document
64,US-PPiU-sc195201,"Hervey Allen papers, 1831-1965; Papers of Hervey Allen, 1831-1965",,,"Allen, Hervey; 1889-1949; Alexander, John White; 1856-1915; Allen, Edward Jay; 1830-1915; Allen, Edward Jay; 1830-1915; Allen, Hervey; 1889-1949; Benét, Stephen Vincent; 1898-1943; Benét, William Rose; 1886-1950; Butcher, Fanny; 1888-1987; Farrar, John Chipman; 1896-1974; Frost, Robert; 1874-1963; Lowell, Amy; 1874-1925; Wyeth, Andrew; 1917-2009; Allen family; Bread Loaf School of English (Middlebury College).; Bread Loaf Writers' Conference of Middlebury College.; Farrar & Rinehart.; Rinehart & Company, Inc.; St. John's College (Annapolis, Md.).; United States.; War Manpower Commission.; University of Pittsburgh; University of Pittsburgh",,,mixed material,Correspondence.; Family papers.; Financial records.; Manuscripts for publication.; Personal papers.; Diaries
65,31735037969866,"Civil War Prose on Slavery,",,1831-1965,University of Pittsburgh,156,5,text,archival document
66,31735037970088,"Diary Containing Accounts of Daily Life in Pittsburgh and on the Steamboat New Hampshire,",,1846; 1831-1965,University of Pittsburgh,180,2,text,archival document
67,31735037970112,"""Notices of Books,"" Notebook Containing Summaries and Personal Reviews of Books and Journal Entries Accounting Daily Life and Travels,",,1840/1841; 1831-1965,University of Pittsburgh,182,2,text,archival document
68,31735037969858,"Chinook Jargon:Carbon Copy and Photocopy,",,1852/1855; 1831-1965,University of Pittsburgh,156,4,text,archival document
69,31735037973017,"Winthrop Allen (brother),",,1831-1965,University of Pittsburgh,,10,text,archival document
70,31735037969882,"Scrapbook of Newspaper Clippings of Poems and Handwritten Poems,",,1848/1849; 1831-1965,University of Pittsburgh,159,3,text,archival document
71,31735037972498,"Winthrop Allen (brother),",,1831-1965,University of Pittsburgh,,7,text,archival document
72,31735037969825,"Letters From the Oregon Trail: Carbon Copy, Part I (2 copies),",,1831-1965,University of Pittsburgh,156,1,text,archival document
73,31735037969965,"Photographs of the 155th Regiment of Pennsylvania Volunteers of the Civil War,",,1908; 1831-1965,University of Pittsburgh,158,4,text,archival document
74,31735037969981,"Journal Accounting Daily Life in Pittsburgh,",,1851; 1831-1965,University of Pittsburgh,158,6,text,archival document
75,31735037972688,"Elizabeth Allen (sister),",,1831-1965,University of Pittsburgh,,15,text,archival document
76,31735037972977,"Winthrop Allen (brother),",,1831-1965,University of Pittsburgh,,10,text,archival document
77,31735037970187,"Book of Recorded Quotations and Poems,",,1847; 1831-1965,University of Pittsburgh,183,4,text,archival document
78,31735037972944,"Winthrop Allen (brother),",,1831-1965,University of Pittsburgh,,3,text,archival document
79,31735037970054,"Letter Of Recommendation For Rank Of Colonel,",,1863; 1831-1965,University of Pittsburgh,157,4,text,archival document
80,31735037972407,"Winthrop Allen (brother),",,1947; 1831-1965,University of Pittsburgh,172,7,text,archival document
81,31735037969957,"Fall In! Comrades, Written For The 155th Regiment of Pennsylvania Volunteers,",,1894; 1831-1965,University of Pittsburgh,157,15,text,archival document
82,31735037970245,William H. Allen (great uncle),,1831-1965,University of Pittsburgh,177,5,text,archival document
83,31735037972399,"Winthrop Allen (brother),",,1831-1965,University of Pittsburgh,,4,text,archival document
84,31735037972530,"Winthrop Allen (brother),",,1831-1965,University of Pittsburgh,,8,text,archival document
85,31735037972597,"Winthrop Allen (brother),",,1831-1965,University of Pittsburgh,,6,text,archival document
86,31735062230572,"Edgehill Home,",,1899/1900; 1831-1965,University of Pittsburgh,178,2,text,archival document
87,31735037972787,"Winthrop Allen (brother),",,1831-1965,University of Pittsburgh,,1,text,archival document
88,31735037970120,"Personal Diary Accounting Daily Life on the steamboat New Hampshire,",,1842; 1831-1965,University of Pittsburgh,182,3,text,archival document
89,31735037969908,"Scrapbook Album Including Photos and Miscellaneous Allen Family Items,",,1855; 1831-1965,University of Pittsburgh,159,5,text,archival document
90,31735037970252,Hervey upon return from Washington Territory [framed portrait],,1855; 1831-1965,University of Pittsburgh,158,1,still image,archival document
91,31735037969940,"Memorial Day Address Given At Homewood Cemetary,",,1901; 1831-1965,University of Pittsburgh,157,14,text,archival document
92,31735062230564,Genealogy,,1831-1965,University of Pittsburgh,173,4,text,archival document
93,31735062230580,"Portrait of Allen Family with John W. Alexander at Edgehill,",,1876; 1831-1965,University of Pittsburgh,193,,text,archival document
94,31735037970211,"Diary Accounting Work on The Steamboat Norma and Daily Life in Pittsburgh,",,1851; 1831-1965,University of Pittsburgh,184,3,text,archival document
